tau_1 (Nm),tau_2 (Nm),tau_3 (Nm),tau_4 (Nm),tau_5(Nm),tau_6(Nm),tau_7(Nm)
-0.18435309558273483,0.8388495579828595,-0.23255448938437162,-1.8430098688835588,0.22659163608557098,-0.4826542448737931,-0.12959301225477582
-0.19840782463337936,0.8594118732409955,-0.24021335453935383,-1.8522764539937862,0.2245318052882151,-0.4820785828103446,-0.13148849413725044
-0.18817323526675547,0.843407320844074,-0.23550750039035184,-1.8449919714975505,0.22654936749767154,-0.48169988552152215,-0.12718415901485086
-0.1762051089092535,0.8352719171320928,-0.2173021713332718,-1.843962365259248,0.22738714088968057,-0.48324966699064437,-0.13215031115442527
-0.18949195500629992,0.8659676041342864,-0.23016231281543995,-1.861366641016532,0.22570251679246847,-0.48104700620531865,-0.1310282513631107
-0.18172845315463312,0.8392337008481082,-0.23358067732668222,-1.8428734649220562,0.2278611859410214,-0.4819838869244357,-0.13519969956321695
-0.1834517321233108,0.824182909307372,-0.23295106462439633,-1.839419941062519,0.22645598283139742,-0.4810422284511623,-0.13099294846568463
-0.18823863874361307,0.8138094109420205,-0.24490807716402105,-1.83520209341713,0.22599881919389328,-0.48025241056381957,-0.13184772009064735
-0.1856034976013371,0.8306349992893546,-0.22962436858005938,-1.8416274943077366,0.224783127931347,-0.4811319599217593,-0.1280014691843152
-0.18923819006697679,0.8319378620206154,-0.2318913937784498,-1.8457143255897064,0.223664309135958,-0.4826741444263766,-0.1311153982347336
-0.1945105824775591,0.809198069054627,-0.23750178412945216,-1.8271359420175624,0.22443265790371983,-0.4784056528168158,-0.13204652497610642
-0.19678851005358614,0.825295628745773,-0.24578993381478167,-1.8431103923920042,0.2230372009989605,-0.4819687734771449,-0.13002768257695346
-0.19321557276062798,0.8181456492736453,-0.24565630629377397,-1.834536471389667,0.22354675567889137,-0.4831650349345938,-0.12611021000433226
-0.18953484724070607,0.834507903512137,-0.23753339362325449,-1.843473337536463,0.2228832069103767,-0.4807627679348341,-0.12725535042072805
-0.1897370469238594,0.8312365860948069,-0.23896511760025818,-1.8434924094525655,0.22510282004203175,-0.48281741003112416,-0.12633725389070818
-0.18514316331896372,0.8439075440654046,-0.23149922634179254,-1.8500183478055061,0.22510303908654453,-0.4823839990061415,-0.12859260808111653
-0.1794254693988942,0.827956638691726,-0.2241987348937854,-1.8454574288775247,0.22666718476854364,-0.4816527297041184,-0.12949886330397536
-0.19070710682668227,0.838258267365333,-0.24093281563347008,-1.8394276669510081,0.2240710790627003,-0.480495560099115,-0.13000012775385789
-0.1849982903140905,0.828834164965895,-0.22690709500146286,-1.8357863665420684,0.2261355868454264,-0.48062363655236434,-0.12780511362729158
-0.1813610006234455,0.8391792201922097,-0.23715213792835022,-1.8533393709969201,0.22378491135921594,-0.48405558991957687,-0.12651738861100245
-0.189869671178234,0.8326193019031068,-0.24097178129344093,-1.8356031903820522,0.22576711989021447,-0.48174117115435056,-0.12899156665859587
-0.18652887906391447,0.82482533292516,-0.23044532590832675,-1.8355900561755345,0.22587450361698821,-0.48053779953776005,-0.13022220096302614
-0.1892119913352794,0.8507272279880769,-0.23562479027839936,-1.8552434324063678,0.22423884076563338,-0.48302415990277997,-0.1278388659587915
-0.1924453503081202,0.8263597149635068,-0.23058705895109166,-1.837523624273236,0.22560767491315017,-0.4832048978096904,-0.1288155824042657
-0.1908545550523024,0.8289378040637522,-0.23494533653538452,-1.846064154777519,0.22398452247138442,-0.48109452196207547,-0.12917714004949335
-0.18989220958373473,0.8231558063422186,-0.23916282996810848,-1.8346492521812523,0.22472172102362092,-0.48054831757536354,-0.13040531791591806
-0.19673052002063698,0.8534190653409579,-0.24438336762529092,-1.8475457856579083,0.22394947574229598,-0.4801275716970784,-0.12898770960731504
-0.18595542099232704,0.8402525924355165,-0.2280470845547427,-1.8597524782575772,0.22535722352401538,-0.48248651419389443,-0.12902766152225767
-0.19958739486009486,0.79933781860761,-0.24678758540120757,-1.8223715075619724,0.2255060747691025,-0.4800531451875235,-0.13092230068161392
-0.19182184659171927,0.8262362215037947,-0.23788709071319175,-1.836123041937699,0.22377564248711668,-0.48082346943434817,-0.1296845095166278
-0.19380668561364403,0.8282850380120728,-0.24070690759187668,-1.8388721610539225,0.22538922702974906,-0.4801004145233114,-0.13327097477858948
-0.19263749926019832,0.8240029991908271,-0.2322911434544552,-1.834739255892167,0.22634282144586296,-0.48061590832946455,-0.12771737418749457
-0.19315258049280679,0.8124921679597319,-0.23864326267653385,-1.830069624078201,0.2237550305461281,-0.4790538828497974,-0.13117508327527774
-0.19639367148065848,0.8410666722977241,-0.24419996642214783,-1.8466165130546228,0.22518301890363965,-0.48140466469820964,-0.12835140267319453
-0.19497683058632342,0.8165201330993505,-0.2430777426522867,-1.8347799759859602,0.2239676740295447,-0.4791313772029227,-0.1315695461167124
-0.19714797159250286,0.8410300377874487,-0.2438930877617423,-1.8381822147480973,0.22429009144899847,-0.48073861251547134,-0.1285994064785398
-0.19090506748430755,0.8231595972295536,-0.2369254802189417,-1.8419487246157715,0.22603860089632674,-0.4818527558805341,-0.12759163147574748
-0.1914381168976236,0.842767827093333,-0.23961247446712214,-1.8517170116686021,0.2241292878337072,-0.48356943070258984,-0.12649247870927338
-0.18740448241287008,0.8492926740453509,-0.2309235897765962,-1.8529717334552172,0.2280077199990239,-0.48246708504904817,-0.12933460002424113
-0.193434193894023,0.8186185425824232,-0.23842280611906025,-1.8392651287846724,0.22493175841267837,-0.4820837592665961,-0.12695995451412037
-0.18907659966922005,0.8457879155069814,-0.23328911029078753,-1.8555642635691878,0.2276863354716873,-0.4841620674958794,-0.12875522020938457
-0.19865106811839947,0.8252295806530093,-0.23695807822220583,-1.842074068324088,0.22469867534600227,-0.48131348981238464,-0.12906477565170382
-0.1897407032242626,0.8332806934929619,-0.23295526642274708,-1.8393952457031693,0.22650836565327212,-0.481800156233032,-0.12964637211026808
-0.1890362686380793,0.816258019454097,-0.23678263696954135,-1.8294999727040882,0.22775293842236038,-0.4819302226024175,-0.13127849057036553
-0.18936027120391827,0.8362258729694969,-0.24045861831362558,-1.840505682544788,0.22442679990353884,-0.48048853153133325,-0.13004715610160922
-0.18511287825588765,0.8662192880854416,-0.2366982349931619,-1.875233113927868,0.2244409788505429,-0.48508494710163225,-0.1291018436056597
-0.19207610924280044,0.8183090994659741,-0.2450092058856547,-1.8409192733908433,0.22567334832967886,-0.48107527060578226,-0.13126316068856209
-0.17844369481264963,0.8435159183754342,-0.22391335779916863,-1.8534661253517866,0.22765453730651358,-0.4830312365042164,-0.12992936864010013
-0.18431130609093632,0.841608573451757,-0.2279028665545625,-1.8489333260489424,0.22779549814174732,-0.4808405396530819,-0.1293877028891548
-0.18249993256386093,0.8381815358970899,-0.22706849174856614,-1.8511012546589367,0.2272681660910971,-0.4823348595225141,-0.132050613872806
-0.1979087910221645,0.8471013081297948,-0.2429094383590639,-1.8461120365769348,0.22470743481546246,-0.48113338472778583,-0.13416694350344696
-0.1869731825983704,0.8471605021707344,-0.23575091840629875,-1.843721632871147,0.22585539067782842,-0.48014915620812293,-0.13161790105871585
-0.19268468587665696,0.8315517485835668,-0.241152723789572,-1.84428160460352,0.2245606744338945,-0.4848495378374011,-0.12978264131443476
-0.18580020478974982,0.8222205482664339,-0.22490874818765724,-1.8292185579630826,0.22485289985424092,-0.48106021992353587,-0.13208570926536828
-0.18516875300702149,0.8361521188174394,-0.22950774344576114,-1.8446774717896026,0.22769050854393175,-0.4813191868366733,-0.13185418797295823
-0.19370157315401276,0.8440361283244556,-0.2420988634656862,-1.8607414113234961,0.2240670237670299,-0.48292848858758364,-0.13436706159316059
-0.18637420140534539,0.8387698267574921,-0.23449402903276795,-1.8421916128521518,0.22678677324658839,-0.4813355917963865,-0.12699697781484712
-0.18470740401740046,0.8313132992828097,-0.23311801137509086,-1.8436796297244027,0.22575579598706563,-0.48321403458458,-0.12543575582458444
-0.19208388067897475,0.8394036086135301,-0.24130203963774016,-1.8559715389892404,0.22570284250148018,-0.48173074301679397,-0.1282946748334909
-0.18133194276539125,0.8608046877033351,-0.23959005438822478,-1.8530574833703202,0.2255370444010096,-0.4818806508983292,-0.1279531015151978
-0.1863919771606888,0.8295594843602822,-0.23598042020161888,-1.8378505237240104,0.22706139717470242,-0.4816646889543194,-0.12966129947117644
-0.18492254027238253,0.8473065442349917,-0.2296526940023828,-1.8517497109581142,0.22351237889993286,-0.48200426888754694,-0.12836974005517668
-0.18409195539704465,0.8600805370508845,-0.2346991590335831,-1.8529824289919872,0.2234134965448907,-0.48127170381777407,-0.1284882769331805
-0.18280739810403185,0.8495604984849582,-0.2364671056114749,-1.8464230271769277,0.2236907864299929,-0.48046674906432146,-0.12837595815860314
-0.1844453291402425,0.8255672647527378,-0.23637156857302047,-1.8255858063196044,0.22765079603761257,-0.47950619561915947,-0.12924024936537037
-0.188889064433971,0.8353166654564859,-0.23763489510859262,-1.8420675265870106,0.22646129723314576,-0.48192045108280485,-0.1286331418515285
-0.1794371078420346,0.8365288673262482,-0.22686730936910537,-1.8336515209801476,0.22888024693675837,-0.480614683886955,-0.1288650767682185
-0.18999330545975515,0.8538841257554942,-0.2320380485856975,-1.8476063638170968,0.2252569597487882,-0.48198602782130706,-0.1317671188145891
-0.1831376716109895,0.8427859688444097,-0.22840001097434848,-1.8451340148187247,0.22571102875592475,-0.48254942470052625,-0.13069893013631476
-0.18849866552921787,0.8257257836641845,-0.2435013791242028,-1.8318414484293535,0.22489839055206534,-0.4813371413781773,-0.1311473733884385
-0.17914600187045096,0.8265900658950159,-0.22847387164794888,-1.8378349753887608,0.2265073399140661,-0.4818878127004699,-0.13078935810755918
-0.18719590908042602,0.8564987781823055,-0.2375240700417028,-1.8552338542267188,0.22366750689316423,-0.48298300000662864,-0.13286079763627634
-0.18577966589444847,0.844366396458424,-0.22916959546697568,-1.8463425673856835,0.22492603371195907,-0.48003692076675814,-0.1285370540284467
-0.18644487042715857,0.8393352495240389,-0.24189634175270813,-1.842480587651111,0.22738370647333495,-0.48308257551430256,-0.12967163021924377
-0.18462349521274893,0.8412506871777389,-0.2357345012999659,-1.8560035121461194,0.2268263224055113,-0.48444506599322984,-0.1277251644578189
-0.19136479881823795,0.843402639917824,-0.2399203224762848,-1.8506587153604048,0.22405448282748208,-0.4834660358381304,-0.12874304916305693
-0.18500053202753847,0.8314723359051128,-0.2404165509201562,-1.837593591493406,0.22436490585731433,-0.48310180515368306,-0.12808496228833738
-0.19301264535933402,0.8455605539623721,-0.2406804066056992,-1.8477411557624377,0.2222074980342586,-0.4821283363071528,-0.13199798845947394
-0.19048920180075887,0.828749220447837,-0.23160813342413672,-1.8463698663898114,0.22703835076136525,-0.48127967238675456,-0.1317110988678537
-0.1883341374749578,0.8376581076112649,-0.22571115140818823,-1.8459768618217098,0.22717910865528224,-0.48203000757124487,-0.12963343009819184
-0.1872041031555076,0.8558506252990578,-0.22890951685631583,-1.8602567180208496,0.22613340058497752,-0.48324499054582826,-0.13027280528583604
-0.19148456779371759,0.8342107448420745,-0.23448196310857758,-1.8393981420309724,0.22501804216338875,-0.48221395743766093,-0.12906030090210746
-0.19347188098225054,0.8344649638860048,-0.23870502913250222,-1.8380040462793756,0.22495617047467337,-0.4803654856635538,-0.13026454860443074
-0.19223000829555248,0.8440708560035438,-0.2314379129296372,-1.843230066652251,0.2273627860975807,-0.48112650629584436,-0.1286239332299945
-0.1881094149390329,0.8197630730662685,-0.23594381267462966,-1.8305696336839727,0.22394565116763043,-0.4813600353687896,-0.12854715651242105
-0.18738262207129258,0.8115652433388568,-0.23479057183158922,-1.8317822827010866,0.22520729313144697,-0.48074965738877395,-0.12811644161326538
-0.18712227756211158,0.8343156354020621,-0.23751625467968399,-1.8341180796919976,0.22594403434392182,-0.4816046309728985,-0.12998945604852932
-0.1858628383544201,0.8257408590086884,-0.2346127331702505,-1.833708183242068,0.22618396117550865,-0.4817248501772819,-0.12723581749212312
-0.18903518774635847,0.846882085760311,-0.23782019865065854,-1.8494674004418974,0.22732093929677263,-0.4816892816798227,-0.12974835765686105
-0.18534025909652188,0.8277107124930825,-0.23071791082951898,-1.8425204287352477,0.22549714709485386,-0.48255505950407246,-0.1289657044033779
-0.17956376837688115,0.8482937792602145,-0.23001858187785698,-1.8444151348825528,0.22539398827981358,-0.48280415647620856,-0.1304786429669395
-0.1741542711376365,0.8154308582677329,-0.22372609088448003,-1.8342361234114033,0.2254814776659257,-0.48163457049853065,-0.12851918987667743
-0.17971072517574208,0.830049395838159,-0.22693197094638334,-1.8463141165830685,0.22756765800972922,-0.4831686210844742,-0.130224143247174
-0.18597376012854847,0.8372259174028803,-0.23578688485478014,-1.848201234908939,0.22709204575118866,-0.48389557460483074,-0.12682060022323205
-0.19161014269052842,0.8407962251265956,-0.23943223542987743,-1.850861696809006,0.22279990861281018,-0.4825691889624143,-0.1303971563644723
